DATE,TRESEGCAM052N
1999-04-01,25412683600
1999-05-01,25090581000
1999-06-01,25233966400
1999-07-01,25072654800
1999-08-01,25217130900
1999-09-01,25696480200
1999-10-01,26228837100
1999-11-01,28370957800
1999-12-01,28126391700
2000-01-01,28502702700
2000-02-01,29430050400
2000-03-01,30695271200
2000-04-01,30046414800
2000-05-01,29119036900
2000-06-01,29801326300
2000-07-01,29877227500
2000-08-01,30250821700
2000-09-01,30349492500
2000-10-01,30205343700
2000-11-01,30658049600
2000-12-01,32102335600
2001-01-01,32241269600
2001-02-01,32383607900
2001-03-01,33214457400
2001-04-01,32902768700
2001-05-01,32950575800
2001-06-01,32700834600
2001-07-01,33495629900
2001-08-01,34719796800
2001-09-01,33884843300
2001-10-01,34648606300
2001-11-01,34281303600
2001-12-01,33961800000
2002-01-01,33348668900
2002-02-01,33903179900
2002-03-01,33743107400
2002-04-01,34690607000
2002-05-01,35395833100
2002-06-01,36917085000
2002-07-01,36149282200
2002-08-01,36855246700
2002-09-01,36365590100
2002-10-01,37041212400
2002-11-01,36285402600
2002-12-01,36984094800
2003-01-01,37414746600
2003-02-01,35723447800
2003-03-01,35756742200
2003-04-01,36120614800
2003-05-01,37268579500
2003-06-01,36591658000
2003-07-01,35654453900
2003-08-01,35224626600
2003-09-01,36565258000
2003-10-01,35788605800
2003-11-01,36054051700
2003-12-01,36222107800
2004-01-01,36323394800
2004-02-01,35938935000
2004-03-01,36365527900
2004-04-01,35064325500
2004-05-01,35933261000
2004-06-01,35373450600
2004-07-01,35154439400
2004-08-01,35843563400
2004-09-01,36215239700
2004-10-01,36413990600
2004-11-01,34032205000
2004-12-01,34428656300
2005-01-01,34556201800
2005-02-01,35514502500
2005-03-01,36199398200
2005-04-01,35556391300
2005-05-01,34989566800
2005-06-01,34876124900
2005-07-01,33282686300
2005-08-01,34251740200
2005-09-01,33547292800
2005-10-01,34163368100
2005-11-01,34144867100
2005-12-01,32962124300
2006-01-01,32896906000
2006-02-01,32623390600
2006-03-01,35966254800
2006-04-01,35645986200
2006-05-01,35613014600
2006-06-01,35845675400
2006-07-01,36321825400
2006-08-01,35785104100
2006-09-01,35952382800
2006-10-01,35576430300
2006-11-01,36407752100
2006-12-01,34993789800
2007-01-01,35836797200
2007-02-01,36237461900
2007-03-01,39230596200
2007-04-01,40109018800
2007-05-01,40024264400
2007-06-01,39341242500
2007-07-01,40229909200
2007-08-01,40228390700
2007-09-01,40900181300
2007-10-01,40711546900
2007-11-01,40767405900
