DATE,RU1000PR
2011-04-01,1423.0955000000000000
2011-05-01,1430.7557142857142857
2011-06-01,1376.1900000000000000
2011-07-01,1416.5560000000000000
2011-08-01,1260.8308695652173913
2011-09-01,1247.5309523809523810
2011-10-01,1279.8295238095238095
2011-11-01,1302.1961904761904762
2011-12-01,1318.3419047619047619
2012-01-01,1380.9495000000000000
2012-02-01,1440.9095000000000000
2012-03-01,1477.9659090909090909
2012-04-01,1474.1435000000000000
2012-05-01,1425.7563636363636364
2012-06-01,1402.6009523809523810
2012-07-01,1439.9080952380952381
2012-08-01,1485.0686956521739130
2012-09-01,1529.8068421052631579
2012-10-01,1521.0721739130434783
2012-11-01,1481.5166666666666667
2012-12-01,1513.1825000000000000
2013-01-01,1578.5352380952380952
2013-02-01,1614.1089473684210526
2013-03-01,1655.9080000000000000
2013-04-01,1675.2663636363636364
2013-05-01,1748.5936363636363636
2013-06-01,1724.0020000000000000
2013-07-01,1780.4250000000000000
2013-08-01,1786.3945454545454545
2013-09-01,1808.3010000000000000
2013-10-01,1846.2282608695652174
2013-11-01,1909.2245000000000000
2013-12-01,1935.9971428571428571
2014-01-01,1955.5647619047619048
2014-02-01,1953.9100000000000000
2014-03-01,2003.8880952380952381
2014-04-01,1999.7876190476190476
2014-05-01,2025.6009523809523810
2014-06-01,2087.8457142857142857
2014-07-01,2113.1072727272727273
2014-08-01,2102.2823809523809524
2014-09-01,2135.0128571428571429
2014-10-01,2069.6891304347826087
2014-11-01,2184.1673684210526316
2014-12-01,2192.7431818181818182
2015-01-01,2169.2355000000000000
2015-02-01,2231.2810526315789474
2015-03-01,2233.4713636363636364
2015-04-01,2251.1400000000000000
2015-05-01,2265.9590000000000000
2015-06-01,2254.5286363636363636
2015-07-01,2245.6568181818181818
2015-08-01,2187.4190476190476190
2015-09-01,2085.7800000000000000
2015-10-01,2162.9895454545454545
2015-11-01,2218.8275000000000000
2015-12-01,2186.9490909090909091
2016-01-01,2036.9863157894736842
2016-02-01,2016.7310000000000000
2016-03-01,2147.3181818181818182
2016-04-01,2207.2142857142857143
2016-05-01,2197.0561904761904762
2016-06-01,2218.2322727272727273
2016-07-01,2287.0030000000000000
2016-08-01,2318.7269565217391304
2016-09-01,2299.6728571428571429
2016-10-01,2282.2890476190476190
2016-11-01,2307.5309523809523810
2016-12-01,2396.1180952380952381
2017-01-01,2427.6940000000000000
2017-02-01,2486.8047368421052632
2017-03-01,2521.5808695652173913
2017-04-01,2515.2784210526315789
2017-05-01,2552.0022727272727273
2017-06-01,2593.0854545454545455
2017-07-01,2614.2720000000000000
2017-08-01,2614.2630434782608696
2017-09-01,2655.7725000000000000
2017-10-01,2725.0822727272727273
2017-11-01,2763.3295238095238095
2017-12-01,2837.4890000000000000
2018-01-01,2968.7666666666666667
2018-02-01,2877.8436842105263158
2018-03-01,2880.2438095238095238
2018-04-01,2828.6395238095238095
2018-05-01,2881.4327272727272727
2018-06-01,2941.7285714285714286
