DATE,MANMM101CAM189N
2007-09-01,4.03055E+11
2007-10-01,3.99524E+11
2007-11-01,4.02554E+11
2007-12-01,4.14536E+11
2008-01-01,4.06918E+11
2008-02-01,4.02427E+11
2008-03-01,4.01935E+11
2008-04-01,4.10713E+11
2008-05-01,4.21068E+11
2008-06-01,4.29732E+11
2008-07-01,4.31855E+11
2008-08-01,4.32929E+11
2008-09-01,4.38253E+11
2008-10-01,4.46177E+11
2008-11-01,4.54541E+11
2008-12-01,4.68642E+11
2009-01-01,4.59606E+11
2009-02-01,4.52843E+11
2009-03-01,4.5323E+11
2009-04-01,4.6606E+11
2009-05-01,4.74121E+11
2009-06-01,4.82829E+11
2009-07-01,4.91325E+11
2009-08-01,4.96483E+11
2009-09-01,5.00431E+11
2009-10-01,5.08426E+11
2009-11-01,5.16728E+11
2009-12-01,5.29343E+11
2010-01-01,5.20169E+11
2010-02-01,5.18093E+11
2010-03-01,5.15619E+11
2010-04-01,5.26223E+11
2010-05-01,5.37748E+11
2010-06-01,5.46653E+11
2010-07-01,5.50199E+11
2010-08-01,5.48458E+11
2010-09-01,5.53562E+11
2010-10-01,5.59528E+11
2010-11-01,5.62743E+11
2010-12-01,5.77512E+11
2011-01-01,5.69017E+11
2011-02-01,5.64544E+11
2011-03-01,5.64065E+11
2011-04-01,5.73023E+11
2011-05-01,5.78757E+11
2011-06-01,5.91741E+11
2011-07-01,5.96358E+11
2011-08-01,5.95873E+11
2011-09-01,6.10365E+11
2011-10-01,6.18448E+11
2011-11-01,6.20379E+11
2011-12-01,6.3308E+11
2012-01-01,6.25769E+11
2012-02-01,6.18224E+11
2012-03-01,6.15363E+11
2012-04-01,6.28797E+11
2012-05-01,6.38026E+11
2012-06-01,6.52166E+11
2012-07-01,6.56937E+11
2012-08-01,6.55716E+11
2012-09-01,6.56125E+11
2012-10-01,6.56963E+11
2012-11-01,6.65382E+11
2012-12-01,6.79498E+11
2013-01-01,6.69968E+11
2013-02-01,6.73469E+11
2013-03-01,6.76915E+11
2013-04-01,6.84898E+11
2013-05-01,6.88206E+11
2013-06-01,6.99426E+11
2013-07-01,7.01885E+11
2013-08-01,7.05339E+11
2013-09-01,7.09766E+11
2013-10-01,7.14337E+11
2013-11-01,7.23552E+11
2013-12-01,7.38183E+11
