DATE,PIEAMP02CAM659N
2016-12-01,2.278942571
2017-01-01,2.450090744
2017-02-01,3.663003663
2017-03-01,5.161290323
2017-04-01,6.302131603
2017-05-01,5.21978022
2017-06-01,3.178928247
2017-07-01,1.449275362
2017-08-01,2.181818182
2017-09-01,1.357466063
2017-10-01,1.707097934
2017-11-01,2.772808587
2017-12-01,2.317290553
2018-01-01,2.302922941
2018-02-01,2.296819788
2018-03-01,2.366345311
2018-04-01,2.266782912
2018-05-01,3.133159269
