DATE,RUMIDCAPPR
2002-01-01,1483.5938095238095238
2002-02-01,1458.2147368421052632
2002-03-01,1546.0600000000000000
2002-04-01,1539.5109090909090909
2002-05-01,1519.0840909090909091
2002-06-01,1432.0705000000000000
2002-07-01,1264.6281818181818182
2002-08-01,1260.9781818181818182
2002-09-01,1211.7090000000000000
2002-10-01,1164.6939130434782609
2002-11-01,1241.8165000000000000
2002-12-01,1248.2766666666666667
2003-01-01,1252.9776190476190476
2003-02-01,1183.4742105263157895
2003-03-01,1191.5900000000000000
2003-04-01,1246.2485714285714286
2003-05-01,1338.6685714285714286
2003-06-01,1431.1785714285714286
2003-07-01,1455.0072727272727273
2003-08-01,1468.6714285714285714
2003-09-01,1535.2700000000000000
2003-10-01,1581.3726086956521739
2003-11-01,1628.8352631578947368
2003-12-01,1666.4936363636363636
2004-01-01,1747.4735000000000000
2004-02-01,1772.0357894736842105
2004-03-01,1767.6504347826086957
2004-04-01,1780.7685714285714286
2004-05-01,1708.9865000000000000
2004-06-01,1774.3466666666666667
2004-07-01,1735.9428571428571429
2004-08-01,1698.1181818181818182
2004-09-01,1765.8704761904761905
2004-10-01,1795.6004761904761905
2004-11-01,1907.1985714285714286
2004-12-01,1982.0218181818181818
2005-01-01,1949.9820000000000000
2005-02-01,2008.7126315789473684
2005-03-01,2022.8727272727272727
2005-04-01,1970.1457142857142857
2005-05-01,1989.9280952380952381
2005-06-01,2071.4072727272727273
2005-07-01,2153.6905000000000000
2005-08-01,2161.4513043478260870
2005-09-01,2178.1000000000000000
2005-10-01,2106.4685714285714286
2005-11-01,2188.5604761904761905
2005-12-01,2253.4423809523809524
2006-01-01,2317.8940000000000000
2006-02-01,2335.9800000000000000
2006-03-01,2371.8869565217391304
2006-04-01,2410.3473684210526316
2006-05-01,2373.7250000000000000
2006-06-01,2284.0250000000000000
2006-07-01,2270.6000000000000000
2006-08-01,2292.8500000000000000
2006-09-01,2350.3820000000000000
2006-10-01,2432.2454545454545455
2006-11-01,2502.0433333333333333
2006-12-01,2559.0210000000000000
2007-01-01,2576.8620000000000000
2007-02-01,2676.9400000000000000
2007-03-01,2616.5427272727272727
2007-04-01,2725.4305000000000000
2007-05-01,2795.5654545454545455
2007-06-01,2800.6600000000000000
2007-07-01,2807.7571428571428571
2007-08-01,2635.4456521739130435
2007-09-01,2701.6510526315789474
2007-10-01,2788.2160869565217391
2007-11-01,2639.1233333333333333
2007-12-01,2666.4740000000000000
2008-01-01,2448.0866666666666667
2008-02-01,2465.4215000000000000
2008-03-01,2365.1360000000000000
2008-04-01,2493.7895454545454545
2008-05-01,2611.7257142857142857
2008-06-01,2549.8995238095238095
2008-07-01,2349.8450000000000000
2008-08-01,2388.1719047619047619
2008-09-01,2254.1557142857142857
2008-10-01,1657.1169565217391304
2008-11-01,1442.7094736842105263
2008-12-01,1445.4677272727272727
2009-01-01,1480.3875000000000000
2009-02-01,1378.0284210526315789
2009-03-01,1295.8204545454545455
2009-04-01,1505.2880952380952381
2009-05-01,1616.5955000000000000
2009-06-01,1665.1545454545454545
2009-07-01,1683.4281818181818182
2009-08-01,1861.1585714285714286
2009-09-01,1952.6600000000000000
2009-10-01,1991.9740909090909091
2009-11-01,1990.2185000000000000
2009-12-01,2063.2686363636363636
2010-01-01,2120.1873684210526316
2010-02-01,2070.9357894736842105
2010-03-01,2234.6678260869565217
2010-04-01,2353.8523809523809524
2010-05-01,2221.2715000000000000
2010-06-01,2149.7450000000000000
2010-07-01,2128.2685714285714286
2010-08-01,2146.0827272727272727
2010-09-01,2238.5819047619047619
2010-10-01,2350.2552380952380952
2010-11-01,2428.5461904761904762
2010-12-01,2552.4950000000000000
2011-01-01,2625.7255000000000000
2011-02-01,2722.2610526315789474
2011-03-01,2700.2739130434782609
2011-04-01,2786.8675000000000000
2011-05-01,2808.1195238095238095
2011-06-01,2699.1113636363636364
2011-07-01,2766.6250000000000000
2011-08-01,2395.0852173913043478
2011-09-01,2369.8442857142857143
2011-10-01,2407.0133333333333333
2011-11-01,2471.7285714285714286
2011-12-01,2482.8323809523809524
2012-01-01,2609.3350000000000000
2012-02-01,2750.7685000000000000
2012-03-01,2793.5745454545454545
2012-04-01,2774.7965000000000000
2012-05-01,2684.0145454545454545
2012-06-01,2606.2114285714285714
2012-07-01,2666.5866666666666667
2012-08-01,2748.4582608695652174
2012-09-01,2841.7657894736842105
2012-10-01,2817.9334782608695652
2012-11-01,2780.3700000000000000
2012-12-01,2859.6710000000000000
2013-01-01,3017.2147619047619048
2013-02-01,3114.4842105263157895
2013-03-01,3201.8540000000000000
2013-04-01,3221.1304545454545455
2013-05-01,3376.9822727272727273
2013-06-01,3310.2830000000000000
2013-07-01,3445.1027272727272727
2013-08-01,3476.1559090909090909
2013-09-01,3530.9480000000000000
2013-10-01,3615.7000000000000000
2013-11-01,3699.4385000000000000
2013-12-01,3740.5490476190476190
2014-01-01,3801.9919047619047619
2014-02-01,3844.8357894736842105
2014-03-01,3950.3133333333333333
2014-04-01,3905.0185714285714286
2014-05-01,3939.8652380952380952
2014-06-01,4078.7952380952380952
2014-07-01,4102.0754545454545455
2014-08-01,4088.0280952380952381
2014-09-01,4139.3085714285714286
2014-10-01,3981.0769565217391304
2014-11-01,4218.8994736842105263
2014-12-01,4237.0350000000000000
2015-01-01,4228.5835000000000000
2015-02-01,4376.4578947368421053
2015-03-01,4408.2204545454545455
2015-04-01,4450.8485714285714286
2015-05-01,4436.0980000000000000
2015-06-01,4421.2731818181818182
2015-07-01,4353.3700000000000000
2015-08-01,4254.2119047619047619
2015-09-01,4065.3176190476190476
2015-10-01,4152.9159090909090909
2015-11-01,4203.3220000000000000
2015-12-01,4117.5563636363636364
2016-01-01,3806.8173684210526316
2016-02-01,3756.9080000000000000
2016-03-01,4068.4195454545454545
2016-04-01,4192.9795238095238095
2016-05-01,4196.3947619047619048
2016-06-01,4256.4609090909090909
2016-07-01,4395.1830000000000000
2016-08-01,4463.4843478260869565
2016-09-01,4424.0600000000000000
2016-10-01,4361.7328571428571429
2016-11-01,4426.0680952380952381
2016-12-01,4612.9976190476190476
2017-01-01,4668.4740000000000000
2017-02-01,4774.7178947368421053
2017-03-01,4779.7539130434782609
2017-04-01,4785.9957894736842105
2017-05-01,4836.0450000000000000
2017-06-01,4913.0918181818181818
2017-07-01,4948.3995000000000000
2017-08-01,4892.0760869565217391
2017-09-01,4978.5365000000000000
2017-10-01,5117.6377272727272727
2017-11-01,5172.9047619047619048
2017-12-01,5302.3525000000000000
2018-01-01,5511.7328571428571429
2018-02-01,5309.8857894736842105
2018-03-01,5359.9919047619047619
2018-04-01,5290.8695238095238095
2018-05-01,5376.7504545454545455
2018-06-01,5490.3933333333333333
