DATE,WILLLRGCAPVAL
2011-11-01,33869.858095238095
2011-12-01,34815.640000000000
2012-01-01,36573.429500000000
2012-02-01,37602.960500000000
2012-03-01,38640.035454545455
2012-04-01,38422.272500000000
2012-05-01,37341.655909090909
2012-06-01,37044.495238095238
2012-07-01,38297.824285714286
2012-08-01,39408.436086956522
2012-09-01,40612.406842105263
2012-10-01,40874.170000000000
2012-11-01,39729.312380952381
2012-12-01,40630.728500000000
2013-01-01,42453.938095238095
2013-02-01,43709.822631578947
2013-03-01,45066.031500000000
2013-04-01,45930.425909090909
2013-05-01,47880.578636363636
2013-06-01,47456.868500000000
2013-07-01,48932.836363636364
2013-08-01,48660.580909090909
2013-09-01,48764.057500000000
2013-10-01,49675.166086956522
2013-11-01,51652.783500000000
2013-12-01,52009.336190476190
2014-01-01,52285.321428571429
2014-02-01,51991.733157894737
2014-03-01,53606.474285714286
2014-04-01,54513.329047619048
2014-05-01,55141.605714285714
2014-06-01,56681.991904761905
2014-07-01,57301.847272727273
2014-08-01,56785.619523809524
2014-09-01,57786.168571428571
2014-10-01,56338.231304347826
2014-11-01,59490.085789473684
2014-12-01,59797.075909090909
2015-01-01,59254.994500000000
2015-02-01,60112.164736842105
2015-03-01,59575.698181818182
2015-04-01,60234.918571428571
2015-05-01,60934.866000000000
2015-06-01,60258.216363636364
2015-07-01,59710.833181818182
2015-08-01,58199.292380952381
2015-09-01,55559.785238095238
2015-10-01,58509.023181818182
2015-11-01,59948.752500000000
2015-12-01,59496.682272727273
2016-01-01,56404.480000000000
2016-02-01,56962.823500000000
2016-03-01,60544.778181818182
2016-04-01,62210.426190476190
2016-05-01,62254.850476190476
2016-06-01,63404.131818181818
2016-07-01,65967.104000000000
2016-08-01,66224.483478260870
2016-09-01,65649.450952380952
2016-10-01,64825.399523809524
2016-11-01,65711.155238095238
2016-12-01,68563.306666666667
2017-01-01,69156.852500000000
2017-02-01,70567.176315789474
2017-03-01,71677.160869565217
2017-04-01,71225.733157894737
2017-05-01,71410.727727272727
2017-06-01,72779.162272727273
2017-07-01,73002.757000000000
2017-08-01,72978.299130434783
2017-09-01,74344.249500000000
2017-10-01,76437.557272727273
2017-11-01,76979.296190476190
2017-12-01,79379.664000000000
2018-01-01,82382.688095238095
2018-02-01,79245.774210526316
2018-03-01,78808.876190476190
2018-04-01,77958.154285714286
2018-05-01,78725.456818181818
2018-06-01,79876.103809523810
