DATE,MAM2A3CAM189N
2010-10-01,1.36467E+12
2010-11-01,1.36417E+12
2010-12-01,1.37806E+12
2011-01-01,1.36987E+12
2011-02-01,1.366E+12
2011-03-01,1.36784E+12
2011-04-01,1.3763E+12
2011-05-01,1.38161E+12
2011-06-01,1.39535E+12
2011-07-01,1.40005E+12
2011-08-01,1.40341E+12
2011-09-01,1.42007E+12
2011-10-01,1.43275E+12
2011-11-01,1.43911E+12
2011-12-01,1.45543E+12
2012-01-01,1.45109E+12
2012-02-01,1.44535E+12
2012-03-01,1.44429E+12
2012-04-01,1.45738E+12
2012-05-01,1.46782E+12
2012-06-01,1.48677E+12
2012-07-01,1.49441E+12
2012-08-01,1.49693E+12
2012-09-01,1.49719E+12
2012-10-01,1.50091E+12
2012-11-01,1.51041E+12
2012-12-01,1.52553E+12
2013-01-01,1.51987E+12
2013-02-01,1.52465E+12
2013-03-01,1.5397E+12
2013-04-01,1.54799E+12
2013-05-01,1.54981E+12
2013-06-01,1.5623E+12
2013-07-01,1.56576E+12
2013-08-01,1.57373E+12
2013-09-01,1.57792E+12
2013-10-01,1.58436E+12
2013-11-01,1.59713E+12
2013-12-01,1.61611E+12
2014-01-01,1.61304E+12
2014-02-01,1.60618E+12
2014-03-01,1.60752E+12
2014-04-01,1.61401E+12
2014-05-01,1.62177E+12
2014-06-01,1.63099E+12
2014-07-01,1.63503E+12
2014-08-01,1.64448E+12
2014-09-01,1.65283E+12
2014-10-01,1.66221E+12
2014-11-01,1.66763E+12
2014-12-01,1.68364E+12
2015-01-01,1.67664E+12
2015-02-01,1.67671E+12
2015-03-01,1.67816E+12
2015-04-01,1.68828E+12
2015-05-01,1.69207E+12
2015-06-01,1.70196E+12
2015-07-01,1.71816E+12
2015-08-01,1.7285E+12
2015-09-01,1.7395E+12
2015-10-01,1.74357E+12
2015-11-01,1.75601E+12
2015-12-01,1.77199E+12
2016-01-01,1.7722E+12
2016-02-01,1.77511E+12
2016-03-01,1.77553E+12
2016-04-01,1.79076E+12
2016-05-01,1.80166E+12
2016-06-01,1.81723E+12
2016-07-01,1.83893E+12
2016-08-01,1.8459E+12
2016-09-01,1.8604E+12
2016-10-01,1.87455E+12
2016-11-01,1.88912E+12
2016-12-01,1.90669E+12
2017-01-01,1.90967E+12
2017-02-01,1.89928E+12
2017-03-01,1.90707E+12
2017-04-01,1.92752E+12
