DATE,VXOCLS
2016-03-01,16.3986363636363636
2016-04-01,14.3471428571428571
2016-05-01,14.7919047619047619
2016-06-01,16.6350000000000000
2016-07-01,12.3075000000000000
2016-08-01,11.2239130434782609
2016-09-01,13.5933333333333333
2016-10-01,14.8161904761904762
2016-11-01,15.3395238095238095
2016-12-01,11.9561904761904762
2017-01-01,10.7905000000000000
2017-02-01,10.5105263157894737
2017-03-01,10.6408695652173913
2017-04-01,11.5731578947368421
2017-05-01,9.9713636363636364
2017-06-01,9.4231818181818182
2017-07-01,8.8765000000000000
2017-08-01,10.1773913043478261
2017-09-01,8.6015000000000000
2017-10-01,8.0200000000000000
2017-11-01,9.1271428571428571
2017-12-01,8.8275000000000000
2018-01-01,10.3709523809523810
2018-02-01,20.1331578947368421
2018-03-01,18.0490476190476190
2018-04-01,18.7771428571428571
2018-05-01,13.6945454545454545
2018-06-01,12.6947619047619048
