DATE,USD12MD156N
2007-10-01,4.8771339130434783
2007-11-01,4.5218768181818182
2007-12-01,4.4227378947368421
2008-01-01,3.4415350000000000
2008-02-01,2.8039890476190476
2008-03-01,2.5132910526315789
2008-04-01,2.8288363636363636
2008-05-01,3.0328760000000000
2008-06-01,3.4175609523809524
2008-07-01,3.2827191304347826
2008-08-01,3.2363470000000000
2008-09-01,3.3708531818181818
2008-10-01,3.7892939130434783
2008-11-01,2.8231250000000000
2008-12-01,2.3844642857142857
2009-01-01,1.9024109523809524
2009-02-01,2.0643450000000000
2009-03-01,2.1172454545454545
2009-04-01,1.9350950000000000
2009-05-01,1.6775400000000000
2009-06-01,1.6775568181818182
2009-07-01,1.4999460869565217
2009-08-01,1.4230950000000000
2009-09-01,1.2690922727272727
2009-10-01,1.2274740909090909
2009-11-01,1.0843766666666667
2009-12-01,0.99930095238095238095
2010-01-01,0.89850250000000000000
2010-02-01,0.85158000000000000000
2010-03-01,0.87329521739130434783
2010-04-01,0.95980300000000000000
2010-05-01,1.1299878947368421
2010-06-01,1.1879559090909091
2010-07-01,1.1177977272727273
2010-08-01,0.94357809523809523810
2010-09-01,0.80437454545454545455
2010-10-01,0.76809666666666666667
2010-11-01,0.76513454545454545455
2010-12-01,0.78390047619047619048
2011-01-01,0.78182300000000000000
2011-02-01,0.79339500000000000000
2011-03-01,0.77970652173913043478
2011-04-01,0.77005555555555555556
2011-05-01,0.73915000000000000000
2011-06-01,0.72687500000000000000
2011-07-01,0.74522619047619047619
2011-08-01,0.77835818181818181818
2011-09-01,0.83320454545454545455
2011-10-01,0.90864285714285714286
2011-11-01,1.00030500000000000000
2011-12-01,1.1003555000000000
2012-01-01,1.1145476190476190
2012-02-01,1.0711880952380952
2012-03-01,1.0534477272727273
2012-04-01,1.04862105263157894737
2012-05-01,1.0615068181818182
2012-06-01,1.0691894736842105
2012-07-01,1.0653181818181818
2012-08-01,1.04262727272727272727
2012-09-01,0.99977500000000000000
2012-10-01,0.91857608695652173913
2012-11-01,0.86319318181818181818
2012-12-01,0.84831578947368421053
2013-01-01,0.81427272727272727273
2013-02-01,0.76187500000000000000
2013-03-01,0.73512500000000000000
2013-04-01,0.71683333333333333333
2013-05-01,0.69361047619047619048
2013-06-01,0.68394250000000000000
2013-07-01,0.68384913043478260870
2013-08-01,0.66795000000000000000
2013-09-01,0.65268571428571428571
2013-10-01,0.61778478260869565217
2013-11-01,0.58667380952380952381
2013-12-01,0.57904500000000000000
2014-01-01,0.57530000000000000000
2014-02-01,0.55460500000000000000
2014-03-01,0.55714285714285714286
2014-04-01,0.55000500000000000000
2014-05-01,0.53795500000000000000
2014-06-01,0.54217142857142857143
2014-07-01,0.55576956521739130435
2014-08-01,0.55889000000000000000
2014-09-01,0.57705454545454545455
2014-10-01,0.55238695652173913043
2014-11-01,0.56206000000000000000
2014-12-01,0.60211904761904761905
