DATE,RUMIDCAPTR
2002-11-01,2474.6945000000000000
2002-12-01,2491.5838095238095238
2003-01-01,2503.8914285714285714
2003-02-01,2368.2457894736842105
2003-03-01,2388.5252380952380952
2003-04-01,2500.6747619047619048
2003-05-01,2689.6028571428571429
2003-06-01,2879.9738095238095238
2003-07-01,2930.8845454545454545
2003-08-01,2962.2471428571428571
2003-09-01,3101.2361904761904762
2003-10-01,3197.4743478260869565
2003-11-01,3297.4868421052631579
2003-12-01,3379.2004545454545455
2004-01-01,3547.3720000000000000
2004-02-01,3601.0278947368421053
2004-03-01,3597.2834782608695652
2004-04-01,3627.5904761904761905
2004-05-01,3485.6660000000000000
2004-06-01,3624.4533333333333333
2004-07-01,3549.9623809523809524
2004-08-01,3477.1900000000000000
2004-09-01,3621.3447619047619048
2004-10-01,3686.2400000000000000
2004-11-01,3920.3666666666666667
2004-12-01,4081.2540909090909091
2005-01-01,4020.0815000000000000
2005-02-01,4145.3363157894736842
2005-03-01,4180.6286363636363636
2005-04-01,4076.0866666666666667
2005-05-01,4121.7685714285714286
2005-06-01,4296.7359090909090909
2005-07-01,4472.0290000000000000
2005-08-01,4493.5234782608695652
2005-09-01,4534.2490476190476190
2005-10-01,4389.9142857142857143
2005-11-01,4567.4042857142857143
2005-12-01,4710.5280952380952381
2006-01-01,4851.2380000000000000
2006-02-01,4895.2036842105263158
2006-03-01,4977.6143478260869565
2006-04-01,5063.5289473684210526
2006-05-01,4992.3772727272727273
2006-06-01,4811.1140909090909091
2006-07-01,4788.1860000000000000
2006-08-01,4840.7308695652173913
2006-09-01,4969.1150000000000000
2006-10-01,5147.5181818181818182
2006-11-01,5301.4995238095238095
2006-12-01,5430.5780000000000000
2007-01-01,5475.3705000000000000
2007-02-01,5693.5194736842105263
2007-03-01,5572.7427272727272727
2007-04-01,5810.4865000000000000
2007-05-01,5965.9522727272727273
2007-06-01,5984.4433333333333333
2007-07-01,6005.1776190476190476
2007-08-01,5642.3326086956521739
2007-09-01,5791.9110526315789474
2007-10-01,5983.0878260869565217
