DATE,WILLMIDCAP
2002-01-01,27490.945714285714
2002-02-01,27044.936842105263
2002-03-01,28790.349000000000
2002-04-01,28853.352272727273
2002-05-01,28538.952727272727
2002-06-01,26857.551000000000
2002-07-01,23763.719545454545
2002-08-01,23786.125000000000
2002-09-01,23027.970500000000
2002-10-01,21946.780000000000
2002-11-01,23340.608500000000
2002-12-01,23598.038095238095
2003-01-01,23566.553809523810
2003-02-01,22189.930000000000
2003-03-01,22298.453809523810
2003-04-01,23390.846666666667
2003-05-01,25110.271428571429
2003-06-01,26831.312380952381
2003-07-01,27478.406818181818
2003-08-01,27770.379047619048
2003-09-01,29117.907142857143
2003-10-01,30066.810434782609
2003-11-01,31050.172105263158
2003-12-01,31794.545000000000
2004-01-01,33342.314500000000
2004-02-01,33764.241578947368
2004-03-01,33804.127391304348
2004-04-01,34187.119523809524
2004-05-01,32570.025000000000
2004-06-01,33964.943809523810
2004-07-01,33246.154285714286
2004-08-01,32318.028181818182
2004-09-01,33685.856666666667
2004-10-01,34189.382380952381
2004-11-01,36219.622857142857
2004-12-01,37742.218636363636
2005-01-01,36894.685500000000
2005-02-01,37990.910000000000
2005-03-01,38169.380000000000
2005-04-01,36880.750000000000
2005-05-01,37288.099523809524
2005-06-01,39043.040454545455
2005-07-01,40715.298500000000
2005-08-01,40988.750869565217
2005-09-01,41298.076666666667
2005-10-01,39956.257142857143
2005-11-01,41605.088095238095
2005-12-01,42839.172380952381
2006-01-01,44239.044000000000
2006-02-01,44562.350000000000
2006-03-01,45464.524782608696
2006-04-01,46384.348947368421
2006-05-01,45548.034545454545
2006-06-01,43401.685454545455
2006-07-01,43118.246500000000
2006-08-01,43247.499565217391
2006-09-01,44307.865000000000
2006-10-01,45814.302727272727
2006-11-01,47194.509523809524
2006-12-01,48598.054500000000
2007-01-01,49129.942000000000
2007-02-01,51261.434736842105
2007-03-01,50222.492727272727
2007-04-01,52455.173000000000
2007-05-01,53939.695909090909
2007-06-01,54366.266190476190
2007-07-01,54489.667619047619
2007-08-01,50756.601304347826
2007-09-01,52175.588421052632
2007-10-01,54169.638260869565
2007-11-01,51319.714285714286
2007-12-01,51511.514500000000
2008-01-01,47485.157142857143
2008-02-01,48426.839000000000
2008-03-01,46290.686500000000
2008-04-01,48494.319090909091
2008-05-01,50787.982857142857
2008-06-01,50048.170476190476
2008-07-01,46404.228181818182
2008-08-01,47577.896190476190
2008-09-01,45053.346190476190
2008-10-01,33486.190869565217
2008-11-01,29318.183157894737
2008-12-01,29420.386363636364
2009-01-01,30384.791500000000
2009-02-01,28421.531052631579
2009-03-01,26692.218636363636
2009-04-01,31341.748095238095
2009-05-01,33927.330500000000
2009-06-01,34788.511363636364
2009-07-01,35146.319090909091
2009-08-01,39303.044285714286
2009-09-01,41452.297142857143
2009-10-01,42361.697272727273
2009-11-01,42363.589000000000
2009-12-01,44190.065454545455
2010-01-01,45746.737368421053
2010-02-01,44428.009473684211
2010-03-01,48271.782173913043
2010-04-01,51077.480476190476
2010-05-01,48045.043000000000
2010-06-01,46238.092272727273
2010-07-01,45609.019047619048
2010-08-01,45996.305909090909
2010-09-01,48042.586666666667
2010-10-01,50699.417142857143
2010-11-01,52543.869523809524
2010-12-01,55563.485000000000
2011-01-01,57451.645500000000
2011-02-01,59916.545263157895
2011-03-01,59877.623478260870
2011-04-01,62095.701000000000
2011-05-01,62322.062857142857
2011-06-01,59845.565000000000
2011-07-01,61830.814000000000
2011-08-01,52765.600000000000
2011-09-01,51752.692857142857
2011-10-01,52642.380476190476
2011-11-01,54595.662380952381
2011-12-01,54873.957142857143
2012-01-01,57906.682500000000
2012-02-01,61372.591500000000
2012-03-01,62060.916818181818
2012-04-01,61221.894500000000
2012-05-01,59061.683181818182
2012-06-01,56972.234761904762
2012-07-01,58556.228571428571
2012-08-01,60307.897826086957
2012-09-01,62870.637894736842
2012-10-01,62108.325714285714
2012-11-01,61563.201904761905
2012-12-01,63762.611500000000
2013-01-01,67641.715238095238
2013-02-01,70113.522105263158
2013-03-01,72135.513000000000
2013-04-01,72198.295000000000
2013-05-01,75990.019090909091
2013-06-01,74577.940500000000
2013-07-01,78214.905454545455
2013-08-01,79015.220909090909
2013-09-01,80446.005500000000
2013-10-01,82919.902173913043
2013-11-01,85034.211000000000
2013-12-01,86027.109047619048
2014-01-01,87757.777619047619
2014-02-01,88518.803684210526
2014-03-01,91403.336190476190
2014-04-01,90297.126190476190
2014-05-01,90870.559523809524
2014-06-01,94339.849047619048
2014-07-01,94989.089090909091
2014-08-01,94102.919047619048
2014-09-01,94742.314285714286
2014-10-01,90165.345217391304
2014-11-01,95144.728421052632
2014-12-01,95071.837272727273
2015-01-01,95295.346500000000
2015-02-01,99613.570526315789
2015-03-01,100943.895909090909
2015-04-01,102054.877619047619
2015-05-01,102076.323500000000
2015-06-01,102225.085000000000
2015-07-01,100668.023181818182
2015-08-01,98357.261428571429
2015-09-01,94216.578095238095
2015-10-01,95425.881363636364
2015-11-01,96618.292000000000
2015-12-01,94058.333636363636
2016-01-01,86800.968421052632
2016-02-01,85684.640500000000
2016-03-01,93123.409090909091
2016-04-01,96373.322857142857
2016-05-01,97179.427142857143
2016-06-01,99345.095454545455
2016-07-01,102443.462000000000
2016-08-01,103959.166086956522
2016-09-01,103787.903333333333
