DATE,CCRETT01CAM661N
2015-06-01,86.93275503
2015-07-01,84.1474041
2015-08-01,82.96909355
2015-09-01,82.34231825
2015-10-01,83.33991721
2015-11-01,82.66971715
2015-12-01,79.95698538
2016-01-01,77.97820958
2016-02-01,79.96928163
2016-03-01,83.07496093
2016-04-01,85.03273281
2016-05-01,84.66627566
2016-06-01,85.25258435
2016-07-01,84.41223452
2016-08-01,84.08289917
2016-09-01,83.49341208
2016-10-01,82.96214215
2016-11-01,82.49314074
2016-12-01,83.56430185
2017-01-01,84.71389909
2017-02-01,84.65747167
2017-03-01,82.7336949
2017-04-01,82.18459231
2017-05-01,80.93557459
2017-06-01,82.2151465
2017-07-01,85.53053232
2017-08-01,85.48172483
2017-09-01,87.34933626
2017-10-01,85.83860488
2017-11-01,84.81375342
2017-12-01,84.63376944
2018-01-01,85.95109975
2018-02-01,84.47159524
2018-03-01,82.21955553
2018-04-01,83.62165107
2018-05-01,83.95499787
2018-06-01,82.92089575
