DATE,BAMLCC0A0CMTRIV
2013-07-01,2377.523478
2013-08-01,2368.11619
2013-09-01,2366.272381
2013-10-01,2406.61
2013-11-01,2411.140455
2013-12-01,2412.949048
2014-01-01,2440.040455
2014-02-01,2465.198
2014-03-01,2477.334762
2014-04-01,2502.297619
2014-05-01,2536.724783
2014-06-01,2541.179048
2014-07-01,2555.597391
2014-08-01,2573.577727
2014-09-01,2563.08
2014-10-01,2588.87
2014-11-01,2581.171429
2014-12-01,2586.297727
2015-01-01,2637.532381
2015-02-01,2635.909048
2015-03-01,2637.187727
2015-04-01,2661.372381
2015-05-01,2615.562381
2015-06-01,2583.551818
2015-07-01,2585.241304
2015-08-01,2593.554762
2015-09-01,2589.322727
2015-10-01,2609.023913
2015-11-01,2594.566667
2015-12-01,2589.293182
2016-01-01,2589.801905
2016-02-01,2596.205714
2016-03-01,2637.465455
2016-04-01,2698.538636
2016-05-01,2714.544545
2016-06-01,2747.050909
2016-07-01,2801.118636
2016-08-01,2811.48913
2016-09-01,2807.595455
2016-10-01,2800.969524
2016-11-01,2742.239545
2016-12-01,2714.276364
2017-01-01,2744.615238
2017-02-01,2755.5345
2017-03-01,2755.45087
2017-04-01,2792.4965
2017-05-01,2808.22913
2017-06-01,2843.962273
2017-07-01,2847.615714
2017-08-01,2870.24
2017-09-01,2879.696364
2017-10-01,2883.616364
2017-11-01,2888.896364
2017-12-01,2900.000952
2018-01-01,2891.656818
2018-02-01,2845.667
2018-03-01,2833.945
2018-04-01,2833.851905
2018-05-01,2812.759565
2018-06-01,2815.398095
2018-07-01,.
