DATE,LFEAINTTCAM647N
2014-11-01,2153300.0
2014-12-01,2134100.0
2015-01-01,2101600.0
2015-02-01,2075400.0
2015-03-01,2075100.0
2015-04-01,2097900.0
2015-05-01,2162500.0
2015-06-01,2186500.0
2015-07-01,2193900.0
2015-08-01,2200500.0
2015-09-01,2147200.0
2015-10-01,2140900.0
2015-11-01,2148900.0
2015-12-01,2141800.0
2016-01-01,2104200.0
2016-02-01,2107800.0
2016-03-01,2073100.0
2016-04-01,2062400.0
2016-05-01,2098500.0
2016-06-01,2106600.0
2016-07-01,2118100.0
2016-08-01,2131600.0
2016-09-01,2103600.0
2016-10-01,2096199.9999999998
2016-11-01,2077300.0000000002
2016-12-01,2070300.0000000002
2017-01-01,2036400.0
2017-02-01,2041500.0
2017-03-01,2054199.9999999998
2017-04-01,2069300.0000000002
2017-05-01,2139400.0
2017-06-01,2157900.0
2017-07-01,2187300.0
2017-08-01,2178400.0
2017-09-01,2138600.0
2017-10-01,2146500.0
2017-11-01,2156400.0
2017-12-01,2154300.0
2018-01-01,2124300.0
2018-02-01,2116800.0
2018-03-01,2106000.0
2018-04-01,2110500.0
2018-05-01,2148500.0
2018-06-01,2191600.0
