DATE,RUTOP200TR
2009-11-01,2417.4300000000000000
2009-12-01,2464.5068181818181818
2010-01-01,2490.2863157894736842
2010-02-01,2413.0578947368421053
2010-03-01,2543.9443478260869565
2010-04-01,2639.1014285714285714
2010-05-01,2479.0915000000000000
2010-06-01,2387.2304545454545455
2010-07-01,2381.7700000000000000
2010-08-01,2401.2195454545454545
2010-09-01,2477.4123809523809524
2010-10-01,2589.3633333333333333
2010-11-01,2652.7719047619047619
2010-12-01,2741.8145454545454545
2011-01-01,2842.0815000000000000
2011-02-01,2928.2984210526315789
2011-03-01,2893.7743478260869565
2011-04-01,2951.1220000000000000
2011-05-01,2968.8709523809523810
2011-06-01,2862.3086363636363636
2011-07-01,2956.4715000000000000
2011-08-01,2668.1417391304347826
2011-09-01,2645.7361904761904762
2011-10-01,2730.6147619047619048
2011-11-01,2772.8028571428571429
2011-12-01,2822.8033333333333333
2012-01-01,2957.9305000000000000
2012-02-01,3078.5705000000000000
2012-03-01,3177.4459090909090909
2012-04-01,3179.4990000000000000
2012-05-01,3080.7063636363636364
2012-06-01,3053.3133333333333333
2012-07-01,3144.1609523809523810
2012-08-01,3250.4630434782608696
2012-09-01,3350.0831578947368421
2012-10-01,3340.2343478260869565
2012-11-01,3243.3638095238095238
2012-12-01,3311.0970000000000000
2013-01-01,3443.2919047619047619
2013-02-01,3513.7415789473684211
2013-03-01,3608.8885000000000000
2013-04-01,3665.3904545454545455
2013-05-01,3826.4390909090909091
2013-06-01,3789.7430000000000000
2013-07-01,3907.1927272727272727
2013-08-01,3918.2227272727272727
2013-09-01,3967.7945000000000000
2013-10-01,4052.2286956521739130
2013-11-01,4218.2755000000000000
2013-12-01,4291.1580952380952381
2014-01-01,4329.0066666666666667
2014-02-01,4310.8378947368421053
2014-03-01,4425.8233333333333333
2014-04-01,4441.8871428571428571
2014-05-01,4515.8647619047619048
2014-06-01,4654.3933333333333333
2014-07-01,4731.6131818181818182
2014-08-01,4712.4938095238095238
2014-09-01,4801.1247619047619048
2014-10-01,4677.5882608695652174
2014-11-01,4936.2347368421052632
2014-12-01,4964.3331818181818182
2015-01-01,4899.1490000000000000
2015-02-01,5034.8536842105263158
2015-03-01,5035.1163636363636364
2015-04-01,5078.2119047619047619
2015-05-01,5144.0870000000000000
2015-06-01,5124.4113636363636364
2015-07-01,5138.2509090909090909
2015-08-01,5007.6080952380952381
2015-09-01,4779.7161904761904762
2015-10-01,4996.8136363636363636
2015-11-01,5164.9110000000000000
2015-12-01,5114.1127272727272727
2016-01-01,4785.7294736842105263
2016-02-01,4753.9650000000000000
2016-03-01,5037.9645454545454545
2016-04-01,5180.9290476190476190
2016-05-01,5155.3757142857142857
2016-06-01,5205.9104545454545455
2016-07-01,5372.9230000000000000
2016-08-01,5454.2539130434782609
2016-09-01,5421.3219047619047619
2016-10-01,5403.0680952380952381
2016-11-01,5465.5114285714285714
2016-12-01,5678.3504761904761905
2017-01-01,5764.7465000000000000
2017-02-01,5919.1405263157894737
2017-03-01,6044.8304347826086957
2017-04-01,6029.3663157894736842
2017-05-01,6137.7359090909090909
2017-06-01,6249.4495454545454545
2017-07-01,6312.6475000000000000
2017-08-01,6352.3756521739130435
2017-09-01,6460.4390000000000000
2017-10-01,6633.3918181818181818
2017-11-01,6746.1138095238095238
2017-12-01,6945.1210000000000000
2018-01-01,7294.0766666666666667
2018-02-01,7098.8415789473684211
2018-03-01,7094.5171428571428571
2018-04-01,6962.9809523809523810
2018-05-01,7111.4404545454545455
2018-06-01,7273.6919047619047619
