DATE,WILLMICROCAP
2007-09-01,36818.516315789474
2007-10-01,37971.122608695652
2007-11-01,35023.383809523810
2007-12-01,34297.489500000000
2008-01-01,31717.780476190476
2008-02-01,31374.351500000000
2008-03-01,29615.535500000000
2008-04-01,30280.444090909091
2008-05-01,30878.354761904762
2008-06-01,30747.080952380952
2008-07-01,28811.511818181818
2008-08-01,30008.217142857143
2008-09-01,28539.322380952381
2008-10-01,21824.913043478261
2008-11-01,18854.882631578947
2008-12-01,18088.557727272727
2009-01-01,18312.497500000000
2009-02-01,16977.439473684211
2009-03-01,15630.031363636364
2009-04-01,18581.601428571429
2009-05-01,21254.750000000000
2009-06-01,23233.635000000000
2009-07-01,23778.485909090909
2009-08-01,26371.938095238095
2009-09-01,28076.866666666667
2009-10-01,28440.460000000000
2009-11-01,26589.174500000000
2009-12-01,27014.257272727273
2010-01-01,28618.974210526316
2010-02-01,28307.666842105263
2010-03-01,30694.341739130435
2010-04-01,33328.478571428571
2010-05-01,32117.995000000000
2010-06-01,29833.627272727273
2010-07-01,28640.204761904762
2010-08-01,28395.271818181818
2010-09-01,29184.815714285714
2010-10-01,31351.212857142857
2010-11-01,32360.883333333333
2010-12-01,34468.843181818182
2011-01-01,36573.464500000000
2011-02-01,37447.183157894737
2011-03-01,36997.018260869565
2011-04-01,37786.630500000000
2011-05-01,36931.990000000000
2011-06-01,35638.625454545455
2011-07-01,36918.064000000000
2011-08-01,31601.210000000000
2011-09-01,29937.314285714286
2011-10-01,29918.442380952381
2011-11-01,30715.474761904762
2011-12-01,30936.257142857143
2012-01-01,33133.886000000000
2012-02-01,35752.546000000000
2012-03-01,36282.955000000000
2012-04-01,36146.512000000000
2012-05-01,35153.926363636364
2012-06-01,34719.778571428571
2012-07-01,36346.800000000000
2012-08-01,36298.309565217391
2012-09-01,38389.741052631579
2012-10-01,38350.670000000000
2012-11-01,36498.528571428571
2012-12-01,37328.266500000000
2013-01-01,39975.952857142857
2013-02-01,41340.914736842105
2013-03-01,42849.604500000000
2013-04-01,42932.678636363636
2013-05-01,44924.045000000000
2013-06-01,45805.972500000000
2013-07-01,48690.845909090909
2013-08-01,48886.710909090909
2013-09-01,50158.993500000000
2013-10-01,51923.246521739130
2013-11-01,52191.221500000000
2013-12-01,54313.995238095238
2014-01-01,57574.166190476190
2014-02-01,57873.926842105263
2014-03-01,60295.525714285714
2014-04-01,57000.485238095238
2014-05-01,54479.134761904762
2014-06-01,57039.263333333333
2014-07-01,56778.944545454545
2014-08-01,55736.844761904762
2014-09-01,55798.665238095238
2014-10-01,53493.378260869565
2014-11-01,55797.380526315789
2014-12-01,56269.050454545455
2015-01-01,56980.576500000000
2015-02-01,57925.118421052632
2015-03-01,59715.629090909091
2015-04-01,61368.742857142857
2015-05-01,59915.736500000000
2015-06-01,61747.391818181818
2015-07-01,60687.999090909091
2015-08-01,57691.162857142857
2015-09-01,56467.373333333333
2015-10-01,55547.465909090909
2015-11-01,56489.197500000000
2015-12-01,55638.070454545455
2016-01-01,50410.865789473684
2016-02-01,48696.170000000000
2016-03-01,51610.058181818182
2016-04-01,53514.721428571429
2016-05-01,53004.768095238095
2016-06-01,54025.561363636364
2016-07-01,55705.088500000000
2016-08-01,57171.550434782609
2016-09-01,58845.825238095238
2016-10-01,58767.242857142857
2016-11-01,59758.748571428571
2016-12-01,64883.394761904762
2017-01-01,65538.774500000000
2017-02-01,66007.731578947368
2017-03-01,65588.248260869565
2017-04-01,66412.614210526316
2017-05-01,67149.733181818182
2017-06-01,68143.001818181818
2017-07-01,69413.554500000000
2017-08-01,66802.753478260870
2017-09-01,70679.621000000000
2017-10-01,74303.661363636364
2017-11-01,73038.779047619048
2017-12-01,74838.855000000000
2018-01-01,77322.088095238095
2018-02-01,74108.219473684211
2018-03-01,76805.068095238095
2018-04-01,76436.831904761905
2018-05-01,79364.153181818182
2018-06-01,82796.298571428571
