DATE,WILLSMLCAPVAL
1997-09-01,24141.770000000000
1997-10-01,23234.880000000000
1997-11-01,23242.070000000000
1997-12-01,23811.530000000000
1998-01-01,23562.360000000000
1998-02-01,25210.970000000000
1998-03-01,26456.060000000000
1998-04-01,26529.480000000000
1998-05-01,25416.670000000000
1998-06-01,25341.660000000000
1998-07-01,23631.350000000000
1998-08-01,19742.9200000000000000
1998-09-01,20931.630000000000
1998-10-01,21773.060000000000
1998-11-01,22516.750000000000
1998-12-01,23372.730000000000
1999-01-01,23285.989473684211
1999-02-01,21997.946315789474
1999-03-01,21577.130869565217
1999-04-01,22663.697619047619
1999-05-01,24521.100000000000
1999-06-01,24925.610909090909
1999-07-01,25712.910000000000
1999-08-01,24865.808636363636
1999-09-01,24449.970476190476
1999-10-01,23556.740952380952
1999-11-01,24299.469523809524
1999-12-01,23953.766818181818
2000-01-01,24363.487000000000
2000-02-01,24170.872000000000
2000-03-01,25144.865217391304
2000-04-01,24707.101578947368
2000-05-01,24985.271363636364
2000-06-01,25525.320000000000
2000-07-01,25957.701000000000
2000-08-01,26538.820869565217
2000-09-01,27035.766500000000
2000-10-01,25814.116363636364
2000-11-01,26411.443333333333
2000-12-01,26879.157500000000
2001-01-01,28358.280476190476
2001-02-01,29241.825263157895
2001-03-01,28282.970454545455
2001-04-01,28097.584500000000
2001-05-01,30285.739545454545
2001-06-01,30591.515714285714
2001-07-01,30579.360000000000
2001-08-01,30869.825217391304
2001-09-01,27872.619333333333
2001-10-01,28086.884347826087
2001-11-01,29583.680476190476
2001-12-01,31342.803000000000
2002-01-01,31902.938095238095
2002-02-01,31761.001052631579
2002-03-01,34041.550000000000
2002-04-01,35107.166818181818
2002-05-01,34968.340454545455
2002-06-01,33003.887500000000
2002-07-01,29887.370454545455
2002-08-01,29355.470000000000
2002-09-01,28703.592500000000
2002-10-01,27151.762608695652
2002-11-01,28866.543000000000
2002-12-01,29416.549523809524
2003-01-01,29398.698095238095
2003-02-01,27688.456315789474
2003-03-01,27639.602857142857
2003-04-01,29307.267142857143
2003-05-01,31914.130000000000
2003-06-01,34071.770952380952
2003-07-01,35239.277727272727
2003-08-01,35610.898571428571
2003-09-01,37652.312857142857
2003-10-01,38862.669565217391
2003-11-01,40333.370000000000
2003-12-01,41887.879545454545
2004-01-01,44499.997000000000
2004-02-01,44613.668421052632
2004-03-01,44655.065217391304
2004-04-01,44965.135714285714
2004-05-01,42459.232500000000
2004-06-01,44469.778571428571
2004-07-01,44126.357142857143
2004-08-01,43137.760454545455
2004-09-01,45061.974285714286
2004-10-01,45722.432380952381
2004-11-01,48451.047142857143
2004-12-01,50500.340454545455
2005-01-01,48654.063000000000
2005-02-01,50007.340000000000
2005-03-01,49903.590000000000
2005-04-01,47920.001904761905
2005-05-01,48213.656190476190
2005-06-01,50770.532272727273
