DATE,WILLSMLCAP
2001-05-01,24438.313181818182
2001-06-01,24307.509047619048
2001-07-01,23804.636666666667
2001-08-01,23402.001739130435
2001-09-01,20383.192000000000
2001-10-01,20845.116956521739
2001-11-01,22370.968095238095
2001-12-01,23915.534000000000
2002-01-01,24190.817142857143
2002-02-01,23246.073157894737
2002-03-01,24772.688000000000
2002-04-01,25057.590909090909
2002-05-01,24581.264545454545
2002-06-01,22745.219500000000
2002-07-01,20186.340909090909
2002-08-01,19822.598636363636
2002-09-01,19320.007500000000
2002-10-01,18371.016521739130
2002-11-01,19921.986000000000
2002-12-01,20093.153333333333
2003-01-01,19989.470000000000
2003-02-01,18722.954210526316
2003-03-01,18728.806666666667
2003-04-01,19893.918571428571
2003-05-01,21868.776666666667
2003-06-01,23653.914761904762
2003-07-01,24585.978181818182
2003-08-01,24952.812380952381
2003-09-01,26589.250000000000
2003-10-01,27317.481304347826
2003-11-01,28238.001578947368
2003-12-01,28926.868181818182
2004-01-01,30757.390000000000
2004-02-01,30814.969473684211
2004-03-01,30788.411739130435
2004-04-01,31266.497619047619
2004-05-01,29645.919000000000
2004-06-01,30842.543809523810
2004-07-01,30170.744761904762
2004-08-01,29180.740454545455
2004-09-01,30680.137619047619
2004-10-01,31268.398571428571
2004-11-01,33237.907619047619
2004-12-01,34684.112272727273
2005-01-01,33500.136000000000
2005-02-01,34489.572631578947
2005-03-01,34360.878636363636
2005-04-01,33071.298095238095
2005-05-01,33301.257619047619
2005-06-01,35052.175909090909
2005-07-01,36786.586500000000
2005-08-01,36737.941739130435
2005-09-01,36998.035238095238
2005-10-01,35562.084285714286
2005-11-01,37129.378095238095
2005-12-01,38213.496190476190
2006-01-01,39698.583000000000
2006-02-01,40515.361578947368
2006-03-01,41435.417391304348
2006-04-01,42511.145263157895
2006-05-01,41737.755909090909
2006-06-01,39565.853181818182
2006-07-01,39424.109500000000
2006-08-01,39525.566086956522
2006-09-01,40604.835000000000
2006-10-01,42210.138181818182
2006-11-01,43536.113809523810
2006-12-01,44461.814000000000
2007-01-01,44503.848000000000
2007-02-01,46329.396842105263
2007-03-01,45226.569090909091
2007-04-01,47179.780500000000
2007-05-01,48212.015454545455
2007-06-01,48781.138095238095
2007-07-01,48702.087619047619
2007-08-01,45606.547391304348
2007-09-01,46760.349473684211
2007-10-01,48453.128695652174
2007-11-01,45377.703809523810
2007-12-01,45381.240500000000
2008-01-01,41619.158571428571
2008-02-01,42149.656500000000
2008-03-01,40406.223000000000
2008-04-01,42139.412272727273
2008-05-01,43838.067142857143
2008-06-01,43180.723333333333
2008-07-01,40234.278181818182
2008-08-01,42200.625714285714
2008-09-01,40557.558571428571
2008-10-01,30338.430869565217
2008-11-01,26377.776315789474
2008-12-01,26297.320454545455
2009-01-01,26792.466000000000
2009-02-01,24789.270000000000
2009-03-01,22906.002272727273
2009-04-01,27550.098095238095
2009-05-01,30157.992500000000
2009-06-01,31352.218181818182
2009-07-01,31747.330000000000
2009-08-01,35504.024761904762
2009-09-01,37491.036190476190
2009-10-01,38007.181818181818
2009-11-01,37115.643000000000
2009-12-01,38889.113181818182
2010-01-01,40395.148421052632
2010-02-01,39360.680000000000
2010-03-01,43174.912173913043
2010-04-01,46093.380952380952
2010-05-01,43633.836000000000
2010-06-01,41571.879545454545
2010-07-01,40849.833333333333
2010-08-01,40748.319545454545
2010-09-01,42616.328571428571
2010-10-01,45395.141428571429
2010-11-01,47251.345238095238
2010-12-01,50623.580000000000
2011-01-01,51977.713500000000
2011-02-01,53926.641052631579
2011-03-01,53809.953043478261
2011-04-01,55742.063000000000
2011-05-01,55359.444761904762
2011-06-01,53173.693181818182
2011-07-01,55283.959500000000
2011-08-01,46850.977391304348
2011-09-01,45686.725238095238
2011-10-01,46844.971904761905
2011-11-01,48477.592857142857
2011-12-01,49098.575714285714
2012-01-01,51824.283500000000
2012-02-01,55260.571000000000
2012-03-01,55604.902272727273
2012-04-01,54978.137000000000
2012-05-01,53115.060909090909
2012-06-01,52053.656190476190
2012-07-01,54164.656666666667
2012-08-01,55020.334347826087
2012-09-01,57692.580526315789
2012-10-01,56869.274761904762
2012-11-01,55737.905714285714
2012-12-01,57899.973000000000
2013-01-01,61658.656666666667
2013-02-01,63549.841578947368
2013-03-01,65682.622000000000
2013-04-01,65187.243181818182
2013-05-01,68624.615000000000
2013-06-01,68376.175000000000
2013-07-01,72226.917727272727
2013-08-01,72763.013181818182
2013-09-01,73997.822500000000
2013-10-01,76567.379565217391
2013-11-01,78370.362000000000
2013-12-01,79753.453333333333
2014-01-01,81415.824285714286
2014-02-01,81070.279473684211
2014-03-01,84253.272857142857
2014-04-01,82271.573809523810
2014-05-01,81278.295238095238
2014-06-01,84841.478095238095
2014-07-01,84765.040000000000
2014-08-01,83985.938095238095
2014-09-01,84209.062857142857
2014-10-01,80670.400000000000
2014-11-01,85739.558421052632
2014-12-01,85996.323636363636
2015-01-01,85944.410000000000
2015-02-01,88967.590526315789
2015-03-01,90473.557272727273
2015-04-01,91960.377619047619
2015-05-01,91083.265500000000
2015-06-01,92188.465909090909
2015-07-01,90397.060000000000
2015-08-01,87008.916666666667
2015-09-01,83707.525714285714
2015-10-01,84935.817272727273
2015-11-01,86451.638500000000
2015-12-01,84021.898636363636
2016-01-01,76220.211052631579
2016-02-01,74775.081000000000
2016-03-01,81575.581363636364
2016-04-01,84874.049047619048
2016-05-01,84808.740000000000
2016-06-01,87164.703636363636
2016-07-01,90256.404000000000
2016-08-01,92847.090000000000
2016-09-01,93176.584285714286
2016-10-01,91959.468095238095
2016-11-01,95426.018095238095
2016-12-01,102280.769047619048
2017-01-01,102747.442000000000
2017-02-01,104300.451578947368
2017-03-01,103176.350869565217
2017-04-01,103744.108947368421
2017-05-01,103973.290454545455
2017-06-01,105406.640454545455
2017-07-01,106892.022500000000
2017-08-01,104317.733913043478
2017-09-01,107734.169000000000
2017-10-01,112443.830000000000
2017-11-01,112255.475238095238
2017-12-01,114945.515500000000
2018-01-01,118714.351904761905
2018-02-01,114063.906842105263
2018-03-01,116381.459523809524
2018-04-01,115965.074285714286
2018-05-01,120427.681818181818
2018-06-01,125566.090952380952
2018-07-01,.
